a2-action-kernels-are-recursive	Every type [A_2] action has a recursive kernel, so every action image has solvable word problem
ct-z-finite-subgroups-are-classified-by-stabilizer-sets	Two embeddings of a finite group in Kohl's CT(Z) are conjugate iff they have the same point-stabilizer subgroups on Z; so torsion elements are conjugate iff they have the same cycle lengths, and the conjugacy problem of CT(Z) is decidable whenever one element has finite order (Kourovka 21.73, torsion case)
ct-z-invariant-residue-partitions-are-not-conjugacy-invariant	"Kourovka 21.74(a): permuting a nontrivial residue-class partition is r.e. and holds for every finite-order element; it is not a conjugacy invariant in CT(Z); its conjugacy closure is: some power of g fixes a proper clopen subset of the profinite integers"
ct-z-is-the-rcwa-group-fixing-the-nonnegative-integers	Kohl's class transposition group CT(Z) is exactly the group of residue-class-wise affine permutations of Z that fix the nonnegative integers setwise; this answers Kourovka Problem 17.59 positively
ct-z-normalizers-are-2-and-3-regular	Every homeomorphism of the profinite integers normalizing CT(Z) restricts to a bijection of N_0 (after the flip) that is both 2-regular and 3-regular with polynomial growth; with Bell's generalized Cobham theorem this gives Out(CT(Z)) = C_2, answering Kourovka 17.57
ct-z-north-south-element-has-no-finite-cycles	An explicit product of five class transpositions has no finite cycles on Z and permutes no nontrivial partition of Z into residue classes
ct-z-residue-partitions-cannot-carve-thin-invariant-sets	"Kourovka 21.74(a), obstruction: a residue-class partition permuted by g in CT(Z) must put each clopen-indecomposable component in one class, so an invariant set created by a computation inside a thin region (e.g. inside 7Z) can never make g permute a partition; machine-plus-single-mixer reductions cannot decide (a)"
cube-complex-times-tree-fb-closures-pbh-proof	The Y-projections of generators of Γ_0 commensurate the fibre and generate with it a dense subgroup of L, so the Hecke HNN extension on them is a faithful member of BS_G
cube-complex-times-tree-lattices-with-fb-closures-are-pbh	A virtually torsion-free group acting geometrically on (CAT(0) cube complex) × (tree) lies in the permutational Boone--Higman class when the closure of its projection to the cube-complex factor has no open subgroup fixing a point at infinity
cubical-hecke-members-faithful-proof	The kernel is a discrete normal subgroup of the closure, so it lies in the quasi-centre; a compact open centralizing subgroup has a bounded fixed set, which each kernel element preserves, so each kernel element is elliptic, hence trivial
cubical-hecke-members-faithful-when-closure-fixes-bounded-sets	A Hecke HNN extension of a discrete torsion-free group of cube-complex automorphisms acts faithfully on its Bass--Serre tree when the closure of the group and its commensurator letters has no open subgroup fixing a point at infinity
cubulated-groups-act-by-bisections-of-a-pointed-cube-category	A group acting freely and cocompactly on a CAT(0) cube complex acts on the regular part of its Roller boundary by bisections of the left regular groupoid of a finite-object category of pointed cubes, whose normal forms are the Niblo--Reeves normal cube paths
cubulated-pointed-cube-category-proof	Last-edge hyperplanes pairwise cross, a hyperplane crossed twice forces a last-edge hyperplane crossed twice, and the median of o, go and gω cuts a common tail off the two rays
cuntz-stabilized-full-groups-contain-their-own-squares	The topological full group of any Cuntz-stabilized ample groupoid, and its commutator subgroup, contain their own direct squares, so every group hosted there has its square in the same host
cuntz-stabilized-minimal-full-groups-are-acyclic-and-simple	For every minimal topologically free Cantor action, the full group of (action groupoid x Cuntz groupoid) is integrally acyclic and simple; so the Lagrangian Brin-Thompson groups are simple and acyclic
cusp-extensions-hyperbolic-pbh-proof	The maximal elementary subgroup of h is its centralizer, so the cusp extension is a centralizer amalgam; Dahmani gives the relative hyperbolicity
cusp-extensions-of-rel-hyperbolic-groups-satisfy-pbh	Adding cusps E(g) x K along loxodromic elements keeps a relatively hyperbolic group in the permutational Boone--Higman class, torsion allowed
cusp-extensions-of-torsion-free-hyperbolic-groups-satisfy-pbh	For torsion-free hyperbolic H, h ≠ 1 and any finitely generated P in the permutational class, the relatively hyperbolic group H *_{E(h)} (E(h) x P) embeds in a finitely presented simple group
cusp-extensions-rel-hyperbolic-pbh-proof	The centralizer of a loxodromic element is good, so its finite-index overgroup E(g) is good; take one free permutational product over all the cusp orbits, then apply Dahmani
cyclic-centralizer-subgroups-of-nv-have-meeting-supports	In a Brin–Thompson group nV, supports are clopen, and in any torsion-free subgroup with cyclic centralizers (e.g. a closed hyperbolic surface group) every two nontrivial supports meet, as do every support and each of its translates
cyclic-centralizer-subgroups-of-v-touch-attractors	In a torsion-free subgroup of Thompson's V with cyclic centralizers, every nontrivial support meets the attractors, repellers or identity region of every other nontrivial element's flow power
cyclic-input-window-zero-needs-an-automorphism-twist-proof	Along the shift ray, cycle lengths are monotone and line coordinates scale by k, while each value is taken infinitely often
cyclic-input-window-zero-needs-an-automorphism-twist	For the input Z, a genuine shell action passes window zero only with an automorphism twist; the endomorphisms a ↦ a^k with |k| ≥ 2 are impossible in both directions
d-tilde-artin-groups-satisfy-permutational-boone-higman	Every Euclidean Artin group of type D̃_n lies in B_A (open), with its reduction to a surface bundle over Conf_n(C) and the obstructions to the known fibre methods
decidable-algebras-embed-in-oracle-leavitt-crossed-products	Every finitely generated F_2-algebra with solvable word problem embeds unitally in (LC(Y,F_2) ⋊ Z) ⊗ L_2 for some effective Z-subshift Y (an algebraic Kirchberg embedding with an oracle); with G2 this gives Boone--Higman through Track B
decidable-algebras-embed-in-simple-ln-completions	Every finitely generated algebra with solvable word problem embeds in a psi-minimal aperiodic Leavitt--Nekrashevych completion of a finitely presented algebra
decidable-algebras-embed-in-simple-self-similar-completions	Every finitely generated algebra with solvable word problem embeds in the Leavitt--Nekrashevych completion of a free algebra along some matrix recursion whose self-similar quotient is minimal and aperiodic
decidable-fg-self-similar-groups-embed-in-fp-self-similar	Every finitely generated self-similar group with solvable word problem embeds in a finitely presented self-similar group
decidable-fp-groups-have-effective-minimal-free-subshifts	Every infinite finitely presented group with solvable word problem carries a nonempty effectively closed minimal free subshift
decidable-graphical-non-exact-groups-exist	Osajda's graphical groups with isometrically embedded expanders, and his CAT(0)-cubical groups without property A, can be built with solvable word problem
decidable-graphical-non-exact-groups-proof	Build Osajda's labelled graph sequences by brute-force search, then run Dehn's algorithm on the finitely many components of girth below twice the word length
decidable-group-with-coarsely-embedded-expanders-exists	Osajda's graphical small cancellation group over recursive LPS expanders has solvable word problem, so some finitely generated group with solvable word problem contains isometrically embedded expanders and does not coarsely embed into Hilbert space
decidable-groups-embed-in-fp-groups-satisfying-m2	Every finitely generated group with solvable word problem embeds in a finitely presented group with solvable word problem that carries an effectively closed minimal free subshift
decidable-groups-embed-in-fp-groups-with-minimal-free-sft	Every finitely generated group with solvable word problem embeds in an infinite finitely presented group carrying a nonempty minimal free subshift of finite type
decidable-groups-have-universal-hyperaperiodic-points	Every infinite finitely presented group with solvable word problem has a computable hyperaperiodic point that is universal at the origin with computable modulus
decidable-groups-lie-in-fp-topologically-free-crossed-products	Every decidable group lies in a finitely generated group with a minimal topologically free subshift, with torsion-free isotropy, whose binary crossed product is finitely presented
decidable-host-classes-reduce-to-canonical-kazhdan-groups	A class of groups hosts every decidable group iff it hosts the canonical simple Kazhdan groups EL_3 of Cantor crossed-product algebras, so amenable, Haagerup and residually finite host classes are never universal
decidable-houghton-envelopes-via-generic-nu-and-lifting	Take a generic enumeration so the near shift group is P*Z, read off a finitely presented germ group for H_3(E_nu(P)), and lift
decidable-inputs-admit-two-sided-fg-near-index-kernel	A decidable infinite finite presentation admits an enumeration whose near shift group is finitely presented with finitely generated near-index kernel
decidable-inputs-have-fp-genuine-action-shell-envelopes	Every decidable finitely generated group lies in an input with a genuine infinite-support action whose shell envelope is finitely presented
decidable-inputs-have-fp-houghton-like-shift-envelopes	Every infinite finitely presented group with solvable word problem has an enumeration nu and some n >= 2 with the Houghton-like envelope H_n(E_nu(P)) finitely presented
decidable-inputs-have-fp-shell-envelopes	Every decidable infinite finite presentation admits a finitely presented Cantor shell envelope
decidable-minimal-subshift-full-groups-satisfy-boone-higman	The topological full group of every infinite minimal subshift with decidable language embeds in a finitely presented simple group
decidable-minimal-subshifts-are-brin-thompson-factors	Every infinite minimal subshift with decidable language is a factor of some element of some nV acting on a clopen invariant set
decidable-subshift-full-groups-bh-via-brin-thompson-factors	Realize the subshift as a factor of a Brin-Thompson element on a clopen set, then lift its full group into nV
decodable-small-cancellation-families-give-polytime-wp	A Gr'(1/6)-labelled large-girth family with polynomial-time path decoding and short-complement search gives a non-exact group with polynomial-time word problem
decorated-garside-odometer-full-groups-are-type-f-infinity	For every homogeneous Garside monoid, the topological full group of its binary-decorated Garside category extended by an odometer is of type F_infinity
definable-parameter-hosts-cap-simple-subgroups-at-pspace	A finitely presented group acting faithfully by bijections uniformly definable, from arbitrary parameters, in the real field or in an ω-automatic structure on Cantor space specializes to tame parameters on every finite set, so its finitely generated simple subgroups have word problem in PSPACE
definable-parameter-hosts-specialization-proof	The relator locus of a finitely presented definable action is a parameter-free definable set, so it has tame points avoiding any finite set of nontrivial elements, and nonidentity in a tame member is an existential condition decidable in PSPACE
degree-category-comparison-type-a-proof	Units do not change cylinders, the Cuntz colour lets one duplicate a cylinder before refining it, and strong connectivity then spreads any clopen set over its whole piece
degree-category-full-groups-stabilized-have-type-a-actions	If the Cuntz-stabilized full group of a finite degree category with strongly connected pieces is finitely presented, its action on clopen sets has type (A), finite groups of units allowed
degree-coboundary-subgroups-of-coded-full-groups-are-rf	In the full group of a finitely coded groupoid, a finitely generated subgroup whose degree cocycle is a continuous coboundary is virtually a subgroup of a finite product of unit groups; so an infinite simple or non-residually-finite input must change level without bound along every orbit
deligne-bh-via-rational-projective-full-group	If Deligne's class dies over some rational projective full group T_m and T_(m+2) is finitely presented, Deligne's lattice satisfies Boone-Higman
deligne-class-dies-on-some-rational-projective-host	For some n >= 2 there is an embedding of Sp_2n(Z) in a rational projective full group T_m on whose action groupoid Deligne's class dies
deligne-class-dies-over-flag-varieties-iff-flag-has-lagrangian	Deligne's lattice lifts over a Cantor cover of a real flag variety of Sp_2n exactly when the flag type contains a Lagrangian; it never lifts over spaces with an invariant probability measure
deligne-class-survives-on-every-linear-rational-projective-host	For n >= 2, no homomorphism Sp_2n(Z) -> GL_N(Z) makes Deligne's class die on the rational Cantorization of S^(N-1); the rational projective route needs a genuinely piecewise embedding
deligne-class-survives-on-standard-rational-projective-hosts	Deligne's class never dies over the rational Cantorization of a representation sphere of Sp_2n(Z) with a positive-measure orbit whose stabilizer contains a symplectic block; in particular not for the standard representation
deligne-commuting-parabolic-diagonal-singularity-proof	Proof that Deligne normal forms put a Cantor set of singular points on every power of a generator commuting with a disjoint parabolic
deligne-extension-dies-on-lagrangian-cantor-covers	Deligne's central extension becomes trivial on every Cantor Sp_2n(Z)-space covering the real Lagrangian Grassmannian, so Deligne's lattice is an odometer lift over such spaces
deligne-forms-are-singular-on-commuting-parabolic-diagonals	On the Deligne normal-form boundary of a finite-type Artin group with an edge and a node commuting with it, such as B_n for n >= 5, every positive power of an Artin generator has a Cantor set of singular points, so the germ-extension route cannot run on that structure or on its central quotients
deligne-lattice-almost-v-germ-group-proof	Normal subgroups of a torsion-free finite-index subgroup of the Deligne lattice are central or of finite index; kill the central kernel of the germ map with the central-V lemma
deligne-lattice-bh-via-lagrangian-brin-thompson-group	Deligne's lattice satisfies Boone-Higman if the commutator subgroup of the Lagrangian Brin-Thompson group is finitely presented
deligne-lattice-in-almost-v-sits-in-one-germ-group	In any group of Cantor homeomorphisms with finite V-singular sets, a finite-index subgroup of the Deligne lattice embeds in one singular germ group, with its center singular
deligne-lattice-in-fg-simple-lagrangian-brin-thompson-group	For every n >= 2 Deligne's lattice embeds in the finitely generated simple commutator subgroup of the Lagrangian Brin-Thompson group [[(Sp_2n(Z) on the unimodular Maslov Cantorization) x Cuntz]]; for n = 1 this group is 2V and the embedded lattice is B_3
deligne-lattice-is-universal-central-extension-for-g-ge-4	For g at least four Deligne's lattice is the universal central extension of Sp_2g(Z), so it embeds in the universal central extension of every perfect group receiving Sp_2g(Z) injectively on H_2 (a criterion that no host reached through SL_N(Z) can meet)
deligne-lattice-lagrangian-brin-thompson-embedding-proof	Proof that Deligne's lattice embeds in the finitely generated simple commutator subgroup of the Lagrangian Brin-Thompson group
deligne-lattice-satisfies-boone-higman	Deligne's non-residually-finite lattice in the universal cover of Sp_4(R) embeds in a finitely presented simple group
deligne-lattices-and-torelli-quotients-contain-heisenberg-groups	Deligne's lattice over Sp_4(Z) and every Torelli lower-central quotient Mod(S_g)/T_g[c+1] (g >= 3, c >= 2) contain the integer Heisenberg group, so a no to H_3(Z) in nV excludes them from every Brin-Thompson host
deligne-lift-actions-are-not-almost-v	The Lagrangian actions of Sp_2n(Z) and of Deligne's lattice are never almost-V, so Belk-Hyde-Matucci finiteness over V cannot certify a host containing them
deligne-universal-central-extension-proof	Universal central extensions are functorial and their kernels are H_2, so an injective map of perfect groups lifts injectively exactly when it is injective on H_2
dendrite-rearrangement-group-g3-has-simple-commutator-subgroup	The commutator subgroup of the rearrangement group G_3 of the Ważewski dendrite D_3 is simple, answering Tarocchi's question; so every dendrite rearrangement group G_n, n ≥ 3, has simple commutator subgroup
dendrite-rearrangement-groups-are-finitely-presented	The rearrangement groups G_n of the Ważewski dendrites D_n are finitely presented
depth-disjoint-spinal-hosts-have-wreath-germ-groups	With depth-disjoint binary codes, the annular host of a Bishop–Schesler branch group has germ group (G × Alt(6)) ≀ Z, so it is never finitely presented
descending-shell-centralizer-proof	Proof that descending window-zero shell endomorphisms have centralizers of finite exponent
descending-shell-endomorphisms-have-finite-exponent-centralizers	A descending window-zero shell endomorphism of an FW group has a centralizer of finite exponent, so corner and transplant endomorphisms never give one
determinism-closure-certifies-quantum-rigidity	Two-sided determinism closure certifies quantum rigidity of a Z^2 SFT, and fault slabs in two directions defeat it in every recoding
deterministic-extension-rigidity-proof	The base marginal commutes by rigidity; transport puts each fibre operator in the algebra generated by one fibre operator and base operators, so commutation spreads along paths
deterministic-extensions-of-rigid-sfts-are-rigid	A finite-fibre extension of a quantum rigid SFT whose fibre letter is transported deterministically along a monoid-generating set of directions is quantum rigid, and free when the base is free
deterministic-time-lifts-inherit-quantum-rigidity	An SFT over a product that is deterministic in one factor is quantum rigid whenever its row SFT is, and it is free only if the row SFT is free; over a free space factor such lifts are never free
discrete-factor-tree-lattice-splitting-proof	A discrete factor makes its kernel cocompact on the other factors, whose normalizer is then discrete by a centralizer argument, which splits the lattice virtually as kernel times free
discrete-factor-tree-lattices-are-virtually-products	A product-of-trees lattice with a discrete factor image is virtually the kernel of that factor times a free group, so three-tree lattices with a discrete factor satisfy permutational Boone--Higman
domain-exact-hnn-hosts-have-multivalley-kernels	If an HNN extension maps to a host HNN extension that is exact on the domain side, every kernel element is hyperbolic with at least two height-maxima per period of its axis
double-of-psl2-z-half-along-psl2-z-lies-in-b-a	The double of PSL_2(Z[1/2]) along PSL_2(Z), a finitely presented group that is not residually finite, and its centralizing HNN extensions lie in B_A
double-of-psl2-z-half-along-psl2-z-proof	Z/2 wreathed over the vertex cosets is in B_A, so the free permutational product is, and it contains the centralizing amalgam, which contains the double
drutu-sapir-bh-via-ascending-hnn-of-free-groups	The Druţu--Sapir group is an ascending HNN extension of F_2, so the general ascending-HNN theorem embeds it in a simple group of type F_infinity
drutu-sapir-group-satisfies-boone-higman	The Druţu--Sapir group <a,b | a^2 b^2 a^-2 b^-1> embeds in a finitely presented simple group
dying-kernel-covers-give-f-n-simple-envelopes	If a contracting self-similar group has a type F_n wreath-recursion cover with dying kernel, then it embeds in a simple group of type F_n; in particular every iterated monodromy group of a hyperbolic post-critically finite rational map embeds in a simple group of type F_infinity
dynamically-v-separated-groups-satisfy-boone-higman	A finitely presented group with an injective endomorphism φ and a representation ρ in V whose φ-orbit separates points lies in a finitely presented full Cantor group, hence embeds in a finitely presented simple group
dynamically-v-separated-host-singfix-proof	Every one- and two-point SingFix group of the annular host is an iterated ascending HNN extension of V_(2,r) x| G^k, so Belk--Hyde--Matucci Theorem 2.1 applies
e-of-finitely-presented-group-is-recursively-presented	For every finitely presented group G, the group E(G) generated by the constant maps and the identity in G^G is recursively presented
e-type-artin-groups-satisfy-permutational-boone-higman	The Artin groups of types E_6, E_7, E_8 embed in groups with type (A) actions
edge-split-descendants-are-not-factor-closed	For m ≥ 2 an edge-split descendant of the simplex can lie inside a child without descending from it, although any two children meet in common descendants
edge-split-dissections-respecting-an-atom-plane-split-there	An edge-split dissection of the standard triangle cone that no piece of which crosses a first-split plane is an edge-split refinement of that first split
edge-split-operad-has-common-refinements	Any two edge-split dissections of a unimodular simplex cone have a common edge-split refinement
edge-split-operad-satisfies-ore	The one-generator edge-split operad on unimodular simplices satisfies Ore's condition and has finite type
edge-split-ore-via-atom-plane-restriction	The plane lemma and the atom-plane rearrangement together give common edge-split refinements in rank three
edge-splits-cut-every-rational-hyperplane	Iterated edge splits of a unimodular cone cut out every rational hyperplane, so edge-split cells form a basis of the rational Cantorization
edge-splits-resolve-every-rational-plane	Repeated edge-midpoint splits of a unimodular triangle cone make any rational plane a union of piece edges, so edge-split dissections are cofinal among all rational polyhedral dissections
effective-minimal-subshifts-lift-to-plane-constant-minimal-sfts	Over a finitely presented group with solvable word problem, every effectively closed minimal subshift is a plane-invariant factor of a minimal SFT on the product with Z^2 whose Z^2-subaction is free
effective-residual-finiteness-separator-for-boone-higman	The class of groups whose finitely generated residually finite subgroups are all effectively residually finite separates Boone–Higman iff every finitely presented simple group is in it; Rauzy's decidable lamplighter amalgams lie outside it
effectively-rf-groups-have-effective-minimal-free-subshifts	(M2) holds for every infinite effectively residually finite group with solvable word problem, in particular for every infinite fp residually finite group and every infinite f.g. linear group
efrf-groups-frattini-embed-in-efrf-branch-groups	Every finitely generated recursively presented effectively residually finite group Frattini-embeds in a finitely generated recursively presented effectively residually finite branch group, so Boone–Higman for all such groups (including all finitely presented residually finite groups) reduces to branch groups
elementary-groups-over-polynomial-f-p-rings-are-fp	E_n(F_p[s_1..s_k]) equals the Steinberg group St_n and is finitely presented for n >= max(4, k+3)
elementary-groups-over-polynomial-s-integers-are-fp	E_n(Z[1/m][t_1..t_k]) is finitely presented for n >= k+4
elementary-shift-group-contains-every-integral-linear-group	The three-generated group E(Z) x| Z, finitary integer matrices extended by the shift, contains every integral linear group and lies in E_4 of the Toeplitz ring
embedding-in-fp-simple-groups-is-sigma-3-complete-proof	COF reduces to embeddability in DV_F through the cofinite/noncomputable splitting and circulant graph wreath products
embedding-in-fp-simple-groups-is-sigma-3-complete	Unconditionally, it is Sigma_3-complete to decide whether a recursively presented group embeds in a finitely presented simple group, and already whether it embeds in the single group DV_F
equicontinuous-bs-bases-force-conjugator-entropy-proof	Proof that conjugators of an equicontinuous base with a free divisible closure have entropy at least log m
equicontinuous-bs-bases-force-conjugator-entropy	A homeomorphism conjugating an equicontinuous map g to g^k has entropy at least log of the index of cl<g^k> in cl<g>, when no point is fixed by an element outside cl<g^k>
equicontinuous-square-conjugators-are-trivial-in-brick-hosts	In a group of brick maps of C^n with isometric sections, equicontinuity is the same as bounded exponent sums, and an element conjugated to an even power of itself by an equicontinuous homeomorphism has finite order, so the odometer of 2V_tau renormalizes nothing and every BS(1,2) conjugator there has unbounded exponent sums
equivariant-scaling-hnn-vertex-groups-are-linear-proof	Complete the configuration module along the scaling; it becomes a free F_p[[x]]-module on which the top group acts linearly
equivariant-scaling-hnn-vertex-groups-are-linear	If an elementary-abelian-by-H group admits an H-equivariant finite-index scaling whose ascending HNN extension acts faithfully on its tree, the group is linear over F_p((x))
escaping-invariant-sets-force-infinitely-many-double-cosets	If a subgroup coarsely preserves a subset of an isometric G-space whose G-translates move arbitrarily far from it, the subgroup has infinitely many double cosets
euclidean-artin-toric-commensurability-proof	Divide the affine Weyl arrangement complement by the coroot lattice, then by W and by the larger lattice, and move B_A across finite-index inclusions
euclidean-artin-toric-commensurability	A Euclidean Artin group lies in B_A if and only if the fundamental group of the toric Weyl arrangement complement of its finite root system does, for any invariant lattice between coroots and coweights
euclidean-building-boundary-shifts-are-quantum-rigid	The chamber-boundary shift of a lattice in a thick Euclidean building, as a subshift over the lattice itself, is quantum rigid (the higher-rank analogue of free-group boundary shifts)
euclidean-building-lattices-lie-in-permutational-bh-class	Every discrete cocompact group of automorphisms of a locally finite thick irreducible Euclidean building of dimension at least 2, of any type, lies in the permutational Boone–Higman class B_A, via a finite-type boundary coding whose transfer is automatically completely reducible
eventually-periodic-genuine-shell-actions-give-fp-envelopes	Eventually periodic genuine shell actions give finitely presented shell envelopes, and they exist exactly for virtually abelian inputs, including one-ended Z^k
eventually-periodic-genuine-shell-proof	Divide the isotropy germs by a central shift power and use virtually abelian quotients, then build the actions from interleaved zigzags
eventually-periodic-grigorchuk-groups-satisfy-boone-higman	For every eventually periodic omega, the Grigorchuk group G_omega lies in a finitely generated contracting self-similar group, hence in a finitely presented simple group
eventually-rigid-g-automorphism-groups-act-with-type-a-except-fp	For G finitely generated, infinite, simple and MIF, P_G(r) acts on finitely supported G-homomorphisms faithfully and highly transitively, with finitely generated point stabilizers
eventually-rigid-g-automorphism-groups-are-finitely-presented	For some finitely presented simple MIF group G and some r ≥ 3, the eventually rigid G-automorphism group P_G(r) is finitely presented
every-cocf-group-is-exact	Every finitely generated group with context-free co-word problem is exact; this implies Thompson's V is exact, and under Lehnert's conjecture it is equivalent to exactness of V
every-countable-group-embeds-in-simple-fp2-via-fp2-shells	Put the countable group in a perfect finitely generated group and make its shell envelope FP_2; perfect inputs make shell envelopes simple
every-countable-group-has-an-fp2-shell-envelope	Every countable group lies in a finitely generated perfect group with a shell envelope of type FP_2
every-decidable-group-embeds-in-an-isolated-group	Every finitely generated group with solvable word problem embeds in an isolated group (Cornulier--Guyot--Pitsch Question 4)
every-decidable-group-is-a-limit-of-isolated-groups	Every finitely generated group with solvable word problem is a limit of isolated groups (Cornulier--Guyot--Pitsch Question 1)
every-fg-solvable-group-is-a-limit-of-isolated-groups	Every finitely generated solvable group is a limit of isolated groups (Cornulier--Guyot--Pitsch Question 3; they expect a negative answer)
every-gl-n-z-embeds-in-some-brin-thompson-group	For every n there is m such that GL_n(Z) embeds in the Brin-Thompson group mV
every-hyperbolic-group-embeds-in-some-brin-thompson-group	Every hyperbolic group embeds in some Brin-Thompson group nV
every-hyperbolic-group-is-a-limit-of-isolated-groups	Every word hyperbolic group is a limit of isolated groups (Cornulier--Guyot--Pitsch Question 2)
every-integral-linear-group-in-one-host-via-nv	If every GL_n(Z) lies in some Brin-Thompson group nV, the common Brin-Thompson host contains them all
every-real-number-field-lies-in-an-f-unit-field	Every real algebraic number field is contained in Q(β) for some algebraic unit β > 1 with property (F); if so, every interval exchange group with algebraic parameters satisfies Boone--Higman
exact-twisted-shell-actions-are-exact-factorizations	Exactly twisted genuine shell actions are the same as exact factorizations R = <t>H of an ascending HNN extension with the base inside all negative translates of H; Thompson's F has none
exotic-a2-lattices-bh-as-cocompact-a2-lattices	Exotic Ã₂ lattices are cocompact lattices of a locally finite thick Ã₂ building, so the general Ã₂ lattice theorem applies
exotic-a2-lattices-satisfy-boone-higman	Cocompact lattices on exotic A2-tilde buildings embed in finitely presented simple groups
explicit-type-a-actor-with-non-pr-orbit-problem	Some explicitly described finitely presented group has a faithful type (A) action whose orbit problem is not primitive recursive
exponential-chart-minimal-pl-elements-have-bounded-roots	A rational PL circle homeomorphism with irrational rotation number whose Denjoy conjugacy is piecewise exponential or piecewise affine has roots of only finitely many orders, and is never PL-conjugate to a rotation
extensions-with-f-free-outer-kernel-contain-thompson-f-proof	The simple group P' acts trivially by outer automorphisms, the centralizer of K is a central extension of P', and the flip-twisted copy of F lifts
extensions-with-f-free-outer-kernel-contain-thompson-f	If G/K contains Thompson's group F and Out(K) contains no copy of F, then G contains F
f-infinity-tail-ascending-hnns-satisfy-boone-higman	Last-section ascending HNN extensions inside bounded automata groups satisfy Boone–Higman whenever their tail group is of type F_infinity, through a one-point germ extension of a Röver–Nekrashevych group
f-unit-fields-are-characterized-by-isolated-sign-units	A real number field inside Q(β) for an (F) unit β must have a unit whose sign at one real place is opposite to its sign at every other real place; for totally real fields this is also sufficient, and Q(√3) lies in no (F)-unit field
f2-times-f2-has-a-quantum-rigid-free-minimal-sft	The one-ended non-amenable group F_2 × F_2 carries a free minimal subshift of finite type that is quantum rigid
fabrykowski-gupta-ascending-hnn-satisfies-boone-higman	The ascending HNN extension of the Fabrykowski–Gupta group along its last-section endomorphism embeds in a finitely presented simple group
factorial-odometer-affine-hosts-are-rational-stein-groups	Radix-changing value-affine homeomorphisms of the factorial odometer form the rational Stein–Thompson group, whose finitely generated subgroups lie in finitely presented Stein interval-exchange groups
faithful-continuous-normal-form-for-infinite-fg-groups	Every infinite finitely generated group has a set of normal forms whose boundary carries a faithful continuous action
faithful-generalized-bs-witnesses-pass-to-direct-products-proof	Glue the two product graphs of groups along one edge and intersect the two kernels
faithful-generalized-bs-witnesses-pass-to-direct-products	If BS_A and BS_B each contain a faithful witness, so does BS_{A×B}; hence every group in BS_{A×B} embeds in a finitely presented simple group
faithful-hecke-members-pass-to-direct-products	Faithful one-vertex Hecke members pass to finite direct products, so BS_G lies in the permutational Boone--Higman class for every G virtually a product of free abelian groups and arithmetic lattices
faithful-hecke-members-products-proof	The kernel of a product Hecke member projects to invariant normal subgroups of each factor
ffwz-nonfaithful-stein-stabilizers-contain-canonical-kernel	For a non-faithful action, stabilizers of SV_G on the Stein complex of SV_(G/K) contain the canonical kernel, so FFWZ Lemma 4.9(i) fails and their non-faithful finiteness proofs have a gap
fg-complex-linear-groups-are-quasi-retracts-of-simple-groups	Every finitely generated subgroup of GL_n(C) is a subgroup and a quasi-retract of a simple group with the same finiteness properties
fg-decidable-group-whose-e-is-not-recursively-presented	Some finitely generated recursively presented group with solvable word problem has non-recursively-enumerable one-variable mixed identities, so its group E(G) of constant maps and the identity is not recursively presented and embeds in no finitely presented group
fg-infinite-shift-similar-groups-are-strongly-shift-similar	Every finitely generated infinite shift-similar group is strongly shift-similar (the finitely generated form of Mallery-Zaremsky Question 3.18); if true, Mallery-Zaremsky Question 5.13 is fully answered
fg-linear-groups-embed-in-fp-self-similar-groups	Every finitely generated linear group, over any field, embeds in a finitely presented self-similar group
fg-simple-circle-groups-with-t-are-two-generated	Every finitely generated simple group of circle homeomorphisms that contains Thompson's group T is generated by two elements, one of them a finite-order rotation in T
fg-simple-circle-groups-with-t-two-generation-proof	T is generated by a rotation and one copy of F; write everything as boundedly many commutators of arc-supported elements and extract them from one element spread over a Sidon set of arcs
fg-simple-subgroups-of-houghton-like-groups-embed-in-germs	Every finitely generated infinite simple subgroup of a Houghton-like group H_n(G) embeds in the germ group G/FSym(N), so Houghton-like envelopes create no new simple subgroups, and free-shift envelopes contain no simple FA group outside the input
fg-soluble-minimax-groups-satisfy-boone-higman	Every finitely generated soluble minimax group (equivalently, of finite Prüfer rank) embeds in a finitely presented simple group
fiber-detecting-block-characters-force-npc-graph-manifolds	If every JSJ block of a loopless closed graph manifold has a rational character that detects its own fiber and kills its neighbors' fibers, then every block has charge zero and the manifold is non-positively curved; so a host design that supplies such characters cannot reach the non-virtually-fibered case
fiber-type-toric-arrangement-groups-lie-in-the-pbh-class-proof	Induct up the Bibby--Delucchi tower, applying the free-kernel permanence at each bundle whose punctured-G fibre has free fundamental group of rank at least 2
fiber-type-toric-arrangement-groups-lie-in-the-pbh-class	The fundamental group of the complement of a fiber-type (equivalently supersolvable) toric or elliptic arrangement lies in B_A and embeds in a finitely presented simple group
fibre-products-over-b-a-quotients-lie-in-cr	A Mihailova fibre product P = {(g,h) : φ(g) = φ(h)} in F x F satisfies the coset-wreath conditions whenever the quotient Q lies in B_A, and fails them when Q has unsolvable word problem
fibre-products-over-b-a-quotients-proof	P is the preimage of the diagonal of Q x Q, which is a retract; the word problem of the lamplighter decides the word problem of Q
field-representable-algebras-have-fp-simple-envelopes-proof	Restrict scalars to K(t), clear one denominator, free the localization over a Nagata-normalized polynomial ring, then use the Leavitt tensor hosts
