OVERFLOW active=3001 total=3672
  acacababTadactabababada -> TadabtabacabadTacabtad
  abtadtababacabadTacabtad -> tabactabTadactabababada
  TadactabTadactabababada -> aTadactabacabadTacabtad
  tadactabTadactabababada -> btadtababacabadTacabtad
  abadacababTacabadTacabtad -> TababataTTadactabababada
  acacabababTacabadTacabtad -> TadabataTTadactabababada
  acababababTacabadTacabtad -> TacabataTTadactabababada
  TadababababTadactabababada -> cTadTacabtabacabadTacabtad
  tadababababTadactabababada -> btadTacabtabacabadTacabtad
  TadabacababTadactabababada -> cTabTadactabacabadTacabtad
  tadabacababTadactabababada -> btabTadactabacabadTacabtad
  aTacabtabacabada -> cabababTadactad
  Tacabtabacacada -> acabababTadacta
  Tacabtabacabadab -> acabadaTTabatta
  Tacabtabacabadac -> acabababTadactab
  dabTabababTadactad -> baTTacabtabacabada
  daTTacabtabacabada -> babTabababTadactad
  acabababTadactabaT -> TacabtabacabadTa
  dtabTabababTadactad -> taTTacabtabacabada
  bTabTabababTadactad -> TaTTacabtabacabada
  dadTacabtabacabada -> adababababTadactad
  dababTabababTadactad -> adadTTacabtabacabada
  abtadTacabtabacabada -> tabababababTadactad
  acabababTadactabTadab -> TacabtabacababacTac
  acabababTadactabTadac -> TacabtabacababacTab
  tadtadTacabtabacabada -> attabababababTadactad
  acabababTadactabttadab -> Tacabtabacabadattadac
  acabababTadactabttadac -> Tacabtabacabadattadab
  dadtabababababTadactad -> adactadTacabtabacabada
  badactadTacabtabacabada -> cadtabababababTadactad
  acababadTacabtabacabada -> TacabtababababTadactad
  acacabadTacabtabacabada -> TadabtababababTadactad
  abtadtabababababTadactad -> tabactadTacabtabacabada
  TadactadTacabtabacabada -> aTadactababababTadactad
  tadactadTacabtabacabada -> btadtabababababTadactad
  abadacababTabababTadactad -> TababtadTTacabtabacabada
  acacabababTabababTadactad -> TadabtadTTacabtabacabada
  acababababTabababTadactad -> TacabtadTTacabtabacabada
  TadabababadTacabtabacabada -> cTadTacabtababababTadactad
  tadabababadTacabtabacabada -> btadTacabtababababTadactad
  TadabacabadTacabtabacabada -> cTabTadactababababTadactad
  tadabacabadTacabtabacabada -> btabTadactababababTadactad
  aTadababtabababada -> cacabadTabacabtad
  aTacababtabababada -> cababadTabacabtad
  dadTabababtabababada -> adTabababacabtad
  dadTacababtabababada -> adabababadTabacabtad
  cTTTTadab -> TTTTadac
  tabTTTadab -> ataTTTadac
  cadaTTTadab -> badaTTTadac
  cadaTTTadac -> badaTTTadab
  btadaTTTadab -> tadaTTTadac
  cTadaTTTadab -> TadaTTTadac
  dTTacacababaT -> TTTadactadTa
  dTTacacabadtad -> TTTadactadtab
  dTTacacabadtab -> TTTadactadtad
  adactadaTTTadab -> dadtabaTTTadac
  cababadaTTTadab -> aTacabtaTTTadac
  cacabadaTTTadab -> aTadabtaTTTadac
  tabactadaTTTadab -> abtadtabaTTTadac
  acabadtadaTTTadab -> TacattabaTTTadac
  acacadtadaTTTadab -> TadattabaTTTadac
  badTababtaTTTadab -> aTabababtaTTTadac
  adabababadaTTTadab -> dadTacabtaTTTadac
  adabacabadaTTTadab -> dabTadactaTTTadac
  tababababadaTTTadab -> abtadTacabtaTTTadac
  tababacabadaTTTadab -> abtabTadactaTTTadac
  TacabtabacabadaTTTadab -> acabababTadactaTTTadac
  TadabtabababadaTTTadab -> acacabadTacabtaTTTadac
  TacabtabababadaTTTadab -> acababadTacabtaTTTadac
  TadabtabacabadaTTTadab -> acacababTadactaTTTadac
  badacTacacabad -> cabaTTadactad
  badacTacacabab -> cabaTTadactab
  badacTacacabac -> cabaTTadacata
  cadaTTadactadTa -> cabaTTadactabaT
  cadaTTadactadtab -> cabaTTadactadtad
  cadaTTadactadtad -> cabaTTadactadtab
  tadacTacacabad -> btabaTTadactad
  tadacTacacabab -> btabaTTadactab
  tadacTacacabac -> btabaTTadacata
  btadaTTadactadTa -> btabaTTadactabaT
  btadaTTadactadtab -> btabaTTadactadtad
  btadaTTadactadtad -> btabaTTadactadtab
  dabacTacTTadab -> adabTadaTTadac
  TadacTacacabad -> cTabaTTadactad
  TadacTacacabab -> cTabaTTadactab
  TadacTacacabac -> cTabaTTadacata
  cTadaTTadactadTa -> cTabaTTadactabaT
  cTadaTTadactadtab -> cTabaTTadactadtad
  cTadaTTadactadtad -> cTabaTTadactadtab
  abadacabacTacTTadab -> TababtabTadaTTadac
  acacababacTacTTadab -> TadabtabTadaTTadac
  acabababacTacTTadab -> TacabtabTadaTTadac
  tababTadab -> abtabacTac
  dacTabTadab -> bacTabacTac
  bTacTabTadab -> TacTabacTac
  dabacTacTTadac -> adabTadaTTadab
  cabacTadTa -> badabTabaT
  badacTaT -> cabaTTa
  badacTacTac -> cabaTTadac
  cabacTabacabada -> babaTTTabattab
  cabacTabacabadTacabtad -> babaTTTabattadababada
  cabacTabacababTadactad -> babaTTTabattadacabada
  cTTTTadac -> TTTTadab
  tabTTTadac -> ataTTTadab
  btadaTTTadac -> tadaTTTadab
  cTadaTTTadac -> TadaTTTadab
  adactadaTTTadac -> dadtabaTTTadab
  cababadaTTTadac -> aTacabtaTTTadab
  cacabadaTTTadac -> aTadabtaTTTadab
  tabactadaTTTadac -> abtadtabaTTTadab
  acabadtadaTTTadac -> TacattabaTTTadab
  acacadtadaTTTadac -> TadattabaTTTadab
  badTababtaTTTadac -> aTabababtaTTTadab
  adabababadaTTTadac -> dadTacabtaTTTadab
  adabacabadaTTTadac -> dabTadactaTTTadab
  tababababadaTTTadac -> abtadTacabtaTTTadab
  tababacabadaTTTadac -> abtabTadactaTTTadab
  TacabtabacabadaTTTadac -> acabababTadactaTTTadab
  TadabtabababadaTTTadac -> acacabadTacabtaTTTadab
  TacabtabababadaTTTadac -> acababadTacabtaTTTadab
  TadabtabacabadaTTTadac -> acacababTadactaTTTadab
  abadacabacTacTTadac -> TababtabTadaTTadab
  acacababacTacTTadac -> TadabtabTadaTTadab
  acabababacTacTTadac -> TacabtabTadaTTadab
  tababTadac -> abtabacTab
  dacTabTadac -> bacTabacTab
  bTacTabTadac -> TacTabacTab
  badacTacTab -> cabaTTadab
  bacTabacTad -> dacTabTada
  cTabacTadTa -> TadabTabaT
  dadtadTTada -> adtadTacTad
  TacTabacTad -> bTacTabTada
  dabacTabTada -> adabTabacTad
  TadacTaT -> cTabaTTa
  TadacTacTab -> cTabaTTadab
  TadacTacTac -> cTabaTTadac
  abadacabacTabTada -> TababtabTabacTad
  acacababacTabTada -> TadabtabTabacTad
  acabababacTabTada -> TacabtabTabacTad
  cTabacTabacabadTacabtad -> TabaTTTabattadababada
  cTabacTabacababTadactad -> TabaTTTabattadacabada
  cTabacTababacada -> TabaTTabacabta
  dadtadTTadTacabtad -> adtadTacTabababada
  bttttadab -> ttttadac
  tabtttadab -> atatttadac
  cadatttadab -> badatttadac
  cadatttadac -> badatttadab
  btadatttadab -> tadatttadac
  cTadatttadab -> Tadatttadac
  adactadatttadab -> dadtabatttadac
  cababadatttadab -> aTacabtatttadac
  cacabadatttadab -> aTadabtatttadac
  tabactadatttadab -> abtadtabatttadac
  acabadtadatttadab -> Tacattabatttadac
  acacadtadatttadab -> Tadattabatttadac
  badTababtatttadab -> aTabababtatttadac
  adabababadatttadab -> dadTacabtatttadac
  adabacabadatttadab -> dabTadactatttadac
  tababababadatttadab -> abtadTacabtatttadac
  tababacabadatttadab -> abtabTadactatttadac
  Tacabtabacabadatttadab -> acabababTadactatttadac
  Tadabtabababadatttadab -> acacabadTacabtatttadac
  Tacabtabababadatttadab -> acababadTacabtatttadac
  Tadabtabacabadatttadab -> acacababTadactatttadac
  adadtattadab -> dadtattadac
  tabadtattadab -> abtadtattadac
  tabadtattadac -> abtadtattadab
  abadabtattadab -> Tabattattadac
  acacactattadab -> Tadattattadac
  acabactattadab -> Tacattattadac
  Tacabtadtattadab -> acababadtattadac
  Tadabtadtattadab -> acacabadtattadac
  Tababtadtattadab -> abadacadtattadac
  aTadactadtattadab -> Tadactadtattadac
  cTabTadactadtattadab -> Tadabacabadtattadac
  btabTadactadtattadab -> tadabacabadtattadac
  TababtabTadattadac -> abadTacadattabac
  TadabtabTadattadac -> acacababTadattabac
  TacabtabTadattadac -> acabababTadattabac
  bttttadac -> ttttadab
  tabtttadac -> atatttadab
  btadatttadac -> tadatttadab
  cTadatttadac -> Tadatttadab
  adactadatttadac -> dadtabatttadab
  cababadatttadac -> aTacabtatttadab
  cacabadatttadac -> aTadabtatttadab
  tabactadatttadac -> abtadtabatttadab
  acabadtadatttadac -> Tacattabatttadab
  acacadtadatttadac -> Tadattabatttadab
  badTababtatttadac -> aTabababtatttadab
  adabababadatttadac -> dadTacabtatttadab
  adabacabadatttadac -> dabTadactatttadab
  tababababadatttadac -> abtadTacabtatttadab
  tababacabadatttadac -> abtabTadactatttadab
  Tacabtabacabadatttadac -> acabababTadactatttadab
  Tadabtabababadatttadac -> acacabadTacabtatttadab
  Tacabtabababadatttadac -> acababadTacabtatttadab
  Tadabtabacabadatttadac -> acacababTadactatttadab
  adadtattadac -> dadtattadab
  abadabtattadac -> Tabattattadab
  acacactattadac -> Tadattattadab
  acabactattadac -> Tacattattadab
  Tacabtadtattadac -> acababadtattadab
  Tadabtadtattadac -> acacabadtattadab
  Tababtadtattadac -> abadacadtattadab
  aTadactadtattadac -> Tadactadtattadab
  cTabTadactadtattadac -> Tadabacabadtattadab
  btabTadactadtattadac -> tadabacabadtattadab
  TababtabTadattadab -> abadTacadattabab
  TadabtabTadattadab -> acacababTadattabab
  TacabtabTadattadab -> acabababTadattabab
  dTTTTadab -> bTTTTadac
  dttttadac -> cttttadab
  dTTTTadac -> bTTTTadab
  cTTacacababaT -> bTTTadactadTa
  cTTacacabadtad -> bTTTadactadtab
  cTTacacabadtab -> bTTTadactadtad
  dttttadab -> cttttadac
  dTabactadabTababta -> aTabat
  bTabactadabTababta -> adaca
  aTadacactadabTababta -> acababa
  bTTabactadabTababta -> Tadaba
  adtabacabadabTababta -> dactaba
  acTacactadabTababta -> cacababa
  actabaTTacattabTababta -> btababada
  baTTacattababTababta -> aca
  tabtabacabadabTababta -> abattada
  abttabacabadabTababta -> tabactaba
  aTTadattababTababta -> aTabadtababa
  tababTacactadabTababta -> abtabacababa
  cTabTacactadabTababta -> Tadabacababa
  aTadacttabacabadabTababta -> Tadacattada
  cababTTacactadabTababta -> badacTacababa
  actabaTTacattabTacactada -> babtabacabada
  cTababTTacactadabTababta -> TadacTacababa
  btababTTacactadabTababta -> tadacTacababa
  abadTTacattababTababta -> Tabadta
  TacabtabTacactadabTababta -> acabababacababa
  TadabtabTacactadabTababta -> acacababacababa
  cTabTadacttabacabadabTababta -> TadabTacattada
  btabTadacttabacabadabTababta -> tadabTacattada
  adacTabactadacad -> cTababtad
  badacTabactadaca -> dTababta
  abaTTacattabacad -> bTababtad
  badacTabactadTab -> dTababtadT
  btabTabactadacad -> tabTababtad
  acabataTTacattabacad -> TacacttadTababta
  acacataTTacattabacad -> TadacttadTababta
  abattadTabactadacad -> abtadtabTababtad
  TabacttabTabactadacad -> abadtabTababta
  TadacttabTabactadacad -> TadattabTababtad
  TacacttabTabactadacad -> TacattabTababtad
  acTacattadTabactadacad -> acacabadtabTababtad
  abtabacTad -> tababTada
  tadtabacTad -> attababTada
  dadtababTada -> adactabacTad
  babTadT -> daTTab
  babTacT -> daTTad
  babTabT -> daTTac
  badabTabacTad -> cabacTabTada
  badactabacTad -> cadtababTada
  TadabTabacTad -> cTabacTabTada
  abtadtababTada -> tabactabacTad
  TadactabacTad -> aTadactabTada
  tadactabacTad -> btadtababTada
  dTadatttadab -> bTadatttadac
  dTadatttadac -> bTadatttadab
  TabattadacTad -> abadtababTada
  acabadtabTada -> tababacabacT
  bacTadTabababtad -> dacTTabababta
  TadababababacTad -> cTadTacabtabTada
  tadababababacTad -> btadTacabtabTada
  TadabacababacTad -> cTabTadactabTada
  tadabacababacTad -> btabTadactabTada
  TacabattababTada -> acababactadabTad
  TadabattababTada -> acTacattababTad
  TababattababTada -> abadacactadabTad
  abtabaTTa -> tabacTaT
  abtabacTabadT -> tadaTTabab
  abtabacTabacT -> tadaTTabad
  abtabacTababT -> tadaTTabac
  abtabacTabTada -> tababTabacTad
  ababtabacabadac -> tabadTTabattad
  abtababTacactab -> tabadTTadattad
  abtababTacactad -> tabadTTadattab
  abtababTabactab -> tabadTTacattad
  abtababTabactad -> tabadTTacattab
  abtababTababada -> tabadTTacabtad
  abtababTacabada -> tabacTTadactad
  ababtabacTacada -> tabadTTababtad
  tababTadattadab -> abtabTadattabab
  tababTadattadac -> abtabTadattabac
  abtabacTacTTadac -> tababTadaTTadab
  abtabacTacTTadab -> tababTadaTTadac
  abtabacTabababada -> tadaTTabacabtad
  abtabacTabacabada -> tadaTTTabattab
  abtababTabababTadactad -> tabadTTacabtabacabada
  abtababTacabadTacabtad -> tabacTTadactabababada
  abtababTababadTacabtad -> tabadTTacabtabababada
  abtababTacababTadactad -> tabacTTadactabacabada
  dTacTabaT -> cTacTadTa
  cadtadTaT -> badataTTa
  bacTabaTTa -> dacTacTaT
  cabacTabaT -> babaTTaba
  btabacTabaT -> tabaTTaba
  cTabacTabaT -> TabaTTaba
  dTabacTabaT -> bTabaTTaba
  dtabacTabaT -> ctabaTTaba
  cttabacTabaT -> ttabaTTaba
  bTTabacTabaT -> TTabaTTaba
  dttabacTabaT -> bttabaTTaba
  dTTabacTabaT -> cTTabaTTaba
  dtttabacTabaT -> tttabaTTaba
  dTTTabacTabaT -> TTTabaTTaba
  ctttabacTabaT -> btttabaTTaba
  cTTTabacTabaT -> bTTTabaTTaba
  atattabacTabaT -> tattabaTTaba
  adabTabacTabaT -> dabadTaTTaba
  adactabacTabaT -> dadtadaTTaba
  bacTabacTabadT -> dadTaTTabab
  bacTabacTabacT -> dadTaTTabad
  bacTabacTababT -> dadTaTTabac
  bacTabacTabTada -> dacTabTabacTad
  tabactabacTabaT -> abattabadTTaba
  badabttabacTabaT -> cadattabaTTaba
  badacTTabacTabaT -> cadaTTabaTTaba
  bacTababTadactab -> dacTadTTabattad
  bacTababTadactad -> dacTadTTabattab
  bacTababTacactab -> dacTadTTadattad
  bacTababTacactad -> dacTadTTadattab
  bacTababTabactab -> dacTadTTacattad
  bacTababTabactad -> dacTadTTacattab
  bacTababTababada -> dacTadTTacabtad
  bacTababTacabada -> dacTacTTadactad
  bacTababTadabada -> dacTadTTababtad
  TadabttabacTabaT -> cTadattabaTTaba
  tadabttabacTabaT -> btadattabaTTaba
  TadacTTabacTabaT -> cTadaTTabaTTaba
  tadacTTabacTabaT -> btadaTTabaTTaba
  dacTabTadattadab -> bacTabTadattabab
  dacTabTadattadac -> bacTabTadattabac
  bacTabacTacTTadac -> dacTabTadaTTadab
  bacTabacTacTTadab -> dacTabTadaTTadac
  tababacabadTaT -> acabataTTaba
  acababactadabTabaT -> TacabattadaTTaba
  acTacattababTabaT -> TadabattadaTTaba
  abadacactadabTabaT -> TababattadaTTaba
  bacTababTabababTadactad -> dacTadTTacabtabacabada
  bacTababTacabadTacabtad -> dacTacTTadactabababada
  bacTababTababadTacabtad -> dacTadTTacabtabababada
  bacTababTacababTadactad -> dacTacTTadactabacabada
  babTababadab -> daTTacabata
  babTababadac -> daTTacabtab
  dTabTababada -> cTaTTacabtad
  ctabTababada -> btaTTacabtad
  tadtababTababada -> attabadTTacabtad
  daTTacabattabac -> babTababadtabab
  daTTacabattabab -> babTababadtabac
  daTTacabtabttadab -> babTababadattadac
  daTTacabataTTadac -> babTababadaTTadab
  daTTacabtabttadac -> babTababadattadab
  daTTacabataTTadab -> babTababadaTTadac
  babTababadatttadac -> daTTacabtatttadab
  babTababadatttadab -> daTTacabtatttadac
  babTababadaTTTadac -> daTTacabtaTTTadab
  badabTababTababada -> cabacTadTTacabtad
  babTababadaTTTadab -> daTTacabtaTTTadac
  badactababTababada -> cadtabadTTacabtad
  TadabTababTababada -> cTabacTadTTacabtad
  TadactababTababada -> aTadactadTTacabtad
  tadactababTababada -> btadtabadTTacabtad
  acabadtadTTacabtad -> tababababadTabada
  TadabababababTababada -> cTadTacabtadTTacabtad
  tadabababababTababada -> btadTacabtadTTacabtad
  TadabacabababTababada -> cTabTadactadTTacabtad
  tadabacabababTababada -> btabTadactadTTacabtad
  babTacabadab -> daTTadabata
  babTacabadac -> daTTadabtab
  dTabTacabada -> cTaTTadabtad
  ctabTacabada -> btaTTadabtad
  tadtababTacabada -> attabacTTadactad
  daTTadabattabac -> babTacabadtabab
  daTTadabattabab -> babTacabadtabac
  daTTadabtabttadab -> babTacabadattadac
  daTTadabataTTadac -> babTacabadaTTadab
  daTTadabtabttadac -> babTacabadattadab
  daTTadabataTTadab -> babTacabadaTTadac
  babTacabadatttadac -> daTTadabtatttadab
  babTacabadatttadab -> daTTadabtatttadac
  babTacabadaTTTadac -> daTTadabtaTTTadab
  badabTababTacabada -> cabacTacTTadactad
  babTacabadaTTTadab -> daTTadabtaTTTadac
  badactababTacabada -> cadtabacTTadactad
  TadabTababTacabada -> cTabacTacTTadactad
  TadactababTacabada -> aTadacataTTadactad
  tadactababTacabada -> btadtabacTTadactad
  acabadataTTadactad -> tabababababTabada
  TadabababababTacabada -> cTadTacabataTTadactad
  tadabababababTacabada -> btadTacabataTTadactad
  TadabacabababTacabada -> cTabTadacataTTadactad
  tadabacabababTacabada -> btabTadacataTTadactad
  babTadabadab -> daTTababata
  babTadabadac -> daTTababtab
  dTabTadabada -> cTaTTababtad
  ctabTadabada -> btaTTababtad
  tadabtabacTacada -> attabadTTababtad
  daTTababattabac -> babTadabadtabab
  daTTababattabab -> babTadabadtabac
  daTTababtabttadab -> babTadabadattadac
  daTTababataTTadac -> babTadabadaTTadab
  daTTababtabttadac -> babTadabadattadab
  daTTababataTTadab -> babTadabadaTTadac
  babTadabadatttadac -> daTTababtatttadab
  babTadabadatttadab -> daTTababtatttadac
  babTadabadaTTTadac -> daTTababtaTTTadab
  badabTababTadabada -> cabacTadTTababtad
  babTadabadaTTTadab -> daTTababtaTTTadac
  badacabtabacTacada -> cadtabadTTababtad
  TadabTababTadabada -> cTabacTadTTababtad
  TadacabtabacTacada -> aTadactadTTababtad
  tadacabtabacTacada -> btadtabadTTababtad
  abadtabadTTababtad -> TabacttabacTacada
  acabadtadTTababtad -> tababababacTabada
  TadabababababTadabada -> cTadTacabtadTTababtad
  tadabababababTadabada -> btadTacabtadTTababtad
  TadabacabababTadabada -> cTabTadactadTTababtad
  tadabacabababTadabada -> btabTadactadTTababtad
  baTTabacttabacTacada -> adabacabadTTababtad
  dabTadT -> baTTab
  dabTacT -> baTTad
  dabTabT -> baTTac
  dacacabadTa -> bTadactabaT
  bacTadTabattad -> dacTabadactab
  bacTadTabattab -> dacTabadactad
  bacTadTadattad -> dacTabacactab
  bacTadTadattab -> dacTabacactad
  bacTadTacattad -> dacTababactab
  bacTadTacattab -> dacTababactad
  cabacTabababada -> babaTTabacabtad
  cabacTababactad -> babaTTabacattab
  cabacTababactab -> babaTTabacattad
  cabacTabacactad -> babaTTabadattab
  cabacTabacactab -> babaTTabadattad
  cabacTabadactad -> babaTTababattab
  cabacTabadactab -> babaTTababattad
  cTabacTababactad -> TabaTTabacattab
  cTabacTababactab -> TabaTTabacattad
  cTabacTabacactad -> TabaTTabadattab
  cTabacTabacactab -> TabaTTabadattad
  cTabacTabadactad -> TabaTTababattab
  cTabacTabadactab -> TabaTTababattad
  cTabacTabababada -> TabaTTabacabtad
  acTacattababTada -> TadabattababTad
  cTabacTabababadtabac -> TabaTTabacabattabab
  cTabacTabababadtabab -> TabaTTabacabattabac
  bacTadTacabtabacabada -> dacTababababTadactad
  bacTabTadactabababada -> dacTabacabadTacabtad
  bacTadTacabtabababada -> dacTabababadTacabtad
  bacTabTadactabacabada -> dacTabacababTadactad
  cabacTabababadTacabtad -> babaTTabacabtabababada
  cabacTababababTadactad -> babaTTabacabtabacabada
  cTabacTabababadTacabtad -> TabaTTabacabtabababada
  cTabacTababababTadactad -> TabaTTabacabtabacabada
  dTacTadTa -> cTacTabaT
  cadataTTa -> badtadTaT
  btabacTadTa -> tadabTabaT
  dTabacTadTa -> bTadabTabaT
  dtabacTadTa -> ctadabTabaT
  cttabacTadTa -> ttadabTabaT
  bTTabacTadTa -> TTadabTabaT
  dttabacTadTa -> bttadabTabaT
  dTTabacTadTa -> cTTadabTabaT
  dtttabacTadTa -> tttadabTabaT
  dTTTabacTadTa -> TTTadabTabaT
  ctttabacTadTa -> btttadabTabaT
  cTTTabacTadTa -> bTTTadabTabaT
  atattabacTadTa -> tattadabTabaT
  adabTabacTadTa -> dabacTabTabaT
  adactabacTadTa -> dadtababTabaT
  tabactabacTadTa -> abtadtababTabaT
  badabttabacTadTa -> cadattadabTabaT
  badacTTabacTadTa -> cadaTTadabTabaT
  TadabttabacTadTa -> cTadattadabTabaT
  tadabttabacTadTa -> btadattadabTabaT
  TadacTTabacTadTa -> cTadaTTadabTabaT
  tadacTTabacTadTa -> btadaTTadabTabaT
  tababacabacTTa -> acabadtabTabaT
  TacabattababTabaT -> acababactabaTTaba
  TadabattababTabaT -> acTacattadaTTaba
  TababattababTabaT -> abadacactabaTTaba
  dTaTTacabtad -> cTabTababada
  ctaTTacabtad -> btabTababada
  cabaTTacabtad -> badacTababada
  btabaTTacabtad -> tadacTababada
  cTabaTTacabtad -> TadacTababada
  dtabaTTacabtad -> ctadacTababada
  dTabaTTacabtad -> bTadacTababada
  cttabaTTacabtad -> ttadacTababada
  bTTabaTTacabtad -> TTadacTababada
  dTTabaTTacabtad -> cTTadacTababada
  dttabaTTacabtad -> bttadacTababada
  dabTabababacTad -> baTTacabtabTada
  dtttabaTTacabtad -> tttadacTababada
  dTTTabaTTacabtad -> TTTadacTababada
  ctttabaTTacabtad -> btttadacTababada
  cTTTabaTTacabtad -> bTTTadacTababada
  atattabaTTacabtad -> tattadacTababada
  adabTabaTTacabtad -> dabacTacTababada
  adactabaTTacabtad -> dadtabacTababada
  tabactabaTTacabtad -> abtadtabacTababada
  badabttabaTTacabtad -> cadattadacTababada
  badacTTabaTTacabtad -> cadaTTadacTababada
  dabTababadTabattad -> baTTacababtabtab
  dabTababadTabattab -> baTTacababtabtad
  dabTababadTadattad -> baTTacabtabacactab
  dabTababadTadattab -> baTTacabtabacactad
  dabTababadTacattad -> baTTacabtababactab
  dabTababadTacattab -> baTTacabtababactad
  TadabttabaTTacabtad -> cTadattadacTababada
  tadabttabaTTacabtad -> btadattadacTababada
  TadacTTabaTTacabtad -> cTadaTTadacTababada
  tadacTTabaTTacabtad -> btadaTTadacTababada
  dabTababadtabactada -> baTTacabattabtabad
  dabTababababTadabada -> baTTacabtadTTababtad
  dabTababababTacabada -> baTTacabataTTadactad
  dabTababababTababada -> baTTacabtadTTacabtad
  dabTababadtababababada -> baTTacabattabTacabtad
  tababacabacTababada -> acabataTTadabtad
  dabTababadtababacabada -> baTTacabattabTadabtad
  dabTababadTacabtabacabada -> baTTacabtababababTadactad
  dabTabababTadactabababada -> baTTacabtabacabadTacabtad
  dabTababadTacabtabababada -> baTTacabtabababadTacabtad
  dabTabababTadactabacabada -> baTTacabtabacababTadactad
  dTaTTadabtad -> cTabTacabada
  ctaTTadabtad -> btabTacabada
  cabaTTadabtad -> badacTacabada
  btabaTTadabtad -> tadacTacabada
  cTabaTTadabtad -> TadacTacabada
  dtabaTTadabtad -> ctadacTacabada
  dTabaTTadabtad -> bTadacTacabada
  cttabaTTadabtad -> ttadacTacabada
  bTTabaTTadabtad -> TTadacTacabada
  dTTabaTTadabtad -> cTTadacTacabada
  dttabaTTadabtad -> bttadacTacabada
  dabTacababacTad -> baTTadabtabTada
  dtttabaTTadabtad -> tttadacTacabada
  dTTTabaTTadabtad -> TTTadacTacabada
  ctttabaTTadabtad -> btttadacTacabada
  cTTTabaTTadabtad -> bTTTadacTacabada
  atattabaTTadabtad -> tattadacTacabada
  adabTabaTTadabtad -> dabacTacTacabada
  adactabaTTadabtad -> dadtabacTacabada
  dabTTadattaba -> babTTadattada
  tabactabaTTadabtad -> abtadtabacTacabada
  badabttabaTTadabtad -> cadattadacTacabada
  badacTTabaTTadabtad -> cadaTTadacTacabada
  dabTacabadTabattad -> baTTadababtabtab
  dabTacabadTabattab -> baTTadababtabtad
  dabTacabadTadattad -> baTTadabtabacactab
  dabTacabadTadattab -> baTTadabtabacactad
  dabTacabadTacattad -> baTTadabtababactab
  dabTacabadTacattab -> baTTadabtababactad
  TadabttabaTTadabtad -> cTadattadacTacabada
  tadabttabaTTadabtad -> btadattadacTacabada
  TadacTTabaTTadabtad -> cTadaTTadacTacabada
  tadacTTabaTTadabtad -> btadaTTadacTacabada
  dabTacabadtabactada -> baTTadabattabtabad
  dabTacabababTadabada -> baTTadabtadTTababtad
  dabTacabababTacabada -> baTTadabataTTadactad
  dabTacabababTababada -> baTTadabtadTTacabtad
  dabTacabadtababababada -> baTTadabattabTacabtad
  tababacabacTacabada -> acabataTTacabtad
  dabTacabadtababacabada -> baTTadabattabTadabtad
  dabTacabadTacabtabacabada -> baTTadabtababababTadactad
  dabTacababTadactabababada -> baTTadabtabacabadTacabtad
  dabTacabadTacabtabababada -> baTTadabtabababadTacabtad
  dabTacababTadactabacabada -> baTTadabtabacababTadactad
  abaTTababtad -> dabacTacada
  dTaTTababtad -> cTabTadabada
  ctaTTababtad -> btabTadabada
  dabTadababacTad -> baTTababtabTada
  abattabadTTababtad -> tabactabacTacada
  dadTadTababattad -> baTTabababtabtab
  dadTadTababattab -> baTTabababtabtad
  dabTadabadtabactada -> baTTababattabtabad
  dabTadabababTadabada -> baTTababtadTTababtad
  dabTadabababTacabada -> baTTababataTTadactad
  dabTadabababTababada -> baTTababtadTTacabtad
  dabTadabadtababababada -> baTTababattabTacabtad
  dabTadabadtababacabada -> baTTababattabTadabtad
  bacTadTababta -> dacTTababtad
  baTTababttadacabadab -> adacaca
  acTacattabacTaT -> acacabadtabaTTa
  tadacTaT -> btabaTTa
  tadtabaTTa -> attabacTaT
  dabacTacTaT -> adabTabaTTa
  dadtabacTaT -> adactabaTTa
  badabTabaTTa -> cabacTacTaT
  badactabaTTa -> cadtabacTaT
  TadabTabaTTa -> cTabacTacTaT
  abtadtabacTaT -> tabactabaTTa
  TadactabaTTa -> aTadacadtaTT
  tadactabaTTa -> btadtabacTaT
  TabattadaTTa -> abadtabacTaT
  dabTadababaTTa -> baTTababadtaTT
  dabTacababaTTa -> baTTadabadtaTT
  dabTabababaTTa -> baTTacabadtaTT
  TadababababaTTa -> cTadTacabadtaTT
  tadababababaTTa -> btadTacabadtaTT
  TacabattabacTaT -> acababadtadaTTa
  TadabattabacTaT -> acacabadtadaTTa
  TababattabacTaT -> abadacadtadaTTa
  tababacabacTaT -> acabataTTab
  TabTabT -> bTaTTac
  TabTacT -> bTaTTad
  TabTadT -> bTaTTab
  dabadTTaT -> adacTaTTa
  abtabadTTaT -> tabacTaTTa
  bacTabadTTaT -> dacTacTaTTa
  abadacabadTTaT -> TababadtaTTTa
  acacababadTTaT -> TadabadtaTTTa
  acabababadTTaT -> TacabadtaTTTa
  TacTadTababta -> bTacTTababtad
  adabTabacTabababada -> dabadTaTTabacabtad
  tababTabacTabababada -> ababtabaTTTabacabtad
  dacTabTabacTabababada -> bacTabadTaTTabacabtad
  TacabtabTabacTabababada -> acabababadTaTTabacabtad
  TadabtabTabacTabababada -> acacababadTaTTabacabtad
  TababtabTabacTabababada -> abadacabadTaTTabacabtad
  TacTabaTTa -> bTacTacTaT
  dababTTada -> adacTacTad
  abtababTTada -> tabacTacTad
  bacTababTTada -> dacTacTacTad
  bTacacabadTa -> TTadactabaT
  bTTadatttadac -> TTadatttadab
  bTTadatttadab -> TTadatttadac
