# GENERATED by scripts/sk_sentence_census.py --merge -- do not edit.
# Rows whose sentence does not survive at commit df52c39ba504fe577bdaf788de750e78f2ee3fbe.  They are not applied.
# Re-key each row by the current hash after checking the carrier against the new text;
# `hint` is the most similar current sentence (similarity >= 0.60), never applied.
where	lane	old_key	old_commit	old_lines	status	decls	note	old_sentence	hint	similarity
rows/ms-core-3.tsv:13	ms-core-3	46b4acb4ea4f	42a95d13d3a40578307e4fe88b92bcdcca30b008	246-247	definition	GroupApproximation.SimpleKazhdanSofic.piLetters GroupApproximation.SimpleKazhdanSofic.rhoLetters	ms-core-3: proof of thm:main, "We write tau_pm and tau_a for the letters of u^{pm1} and e_a." The letters tau_s of the free algebra F2<tau_s : s in S> in piLetters and rhoLetters (MatricialMarkedLimitWords 77d39b591). Sentence text verified at tip f34e9c0b1.	We write $\tau_\pm$ and $\tau_a$ for the letters of $u^{\pm1}$ and $e_a$.		
rows/ms-core-3.tsv:15	ms-core-3	6c900cb94747	42a95d13d3a40578307e4fe88b92bcdcca30b008	263-268	formalized	GroupApproximation.SimpleKazhdanSofic.exists_asymptoticModels GroupApproximation.SimpleKazhdanSofic.eventually_cutoffModel_eq GroupApproximation.SimpleKazhdanSofic.cutoffModel_one GroupApproximation.SimpleKazhdanSofic.exists_periodicMatricial	ms-core-3: proof of thm:main, "Since P D_l(f) P^{-1} = D_l(f o T^{-1}) whenever f depends only on coordinates in [-l+1,l-1], for fixed r,s in R the identities ... hold for large l, and phi_l(1) = I." The covariance clause of AsymptoticModels gives eventual multiplicativity of the periodic model (through Pestov91.periodicModel_mul); eventually_cutoffModel_eq transfers it and additivity to the cutoff; cutoffModel_one; packaged in exists_periodicMatricial. Modules landed: FiniteModelsAsymptotic 53bc26431, PeriodicMatrixUnits 4d1ec38cf, SubshiftMatricial 88e392873, queued for wiring. Sentence text verified at tip f34e9c0b1.	Since $PD_\ell(f)P^{-1}=D_\ell(f\circ T^{-1})$ whenever $f$ depends only on coordinates in $[-\ell+1,\ell-1]$, for fixed $r,s\in R$ the identities $\varphi_\ell(r+s)=\varphi_\ell(r)+\varphi_\ell(s)$ and $\varphi_\ell(rs)=\varphi_\ell(r)\varphi_\ell(s)$ hold for large $\ell$, and $\varphi_\ell(1)=I$.	eaea133373a7	0.84
rows/ms-core-3.tsv:17	ms-core-3	b596b717a720	42a95d13d3a40578307e4fe88b92bcdcca30b008	270-271	partial	GroupApproximation.SimpleKazhdanSofic.subring_closure_periodicGenerators_eq_top GroupApproximation.SimpleKazhdanSofic.exists_periodicMatricial	ms-core-3: proof of thm:main, "So phi_l(S) generates M_{N_l}(F2), and Theorem thm:general applies." Generation: subring_closure_periodicGenerators_eq_top inside exists_periodicMatricial, closed as printedPeriodicMatricialStatement (MatricialEndpoints a1c4c8ca5). Partial here: "Theorem thm:general applies" is ct-two-ended's printedSimpleKazhdanSoficMain_of_general. Modules landed: FiniteModelsAsymptotic 53bc26431, PeriodicMatrixUnits 4d1ec38cf, SubshiftMatricial 88e392873, queued for wiring. Sentence text verified at tip f34e9c0b1.	So $\varphi_\ell(S)$ generates $M_{N_\ell}(\F_2)$, and Theorem~\ref{thm:general} applies.\qed	150f8a07cf1f	0.95
rows/ms-intro-2.tsv:2	ms-intro-2	cbce9a479de2	42a95d13d3a40578307e4fe88b92bcdcca30b008	402-403	formalized	GroupApproximation.SimpleKazhdanSofic.printedLEFDiagonalEmbedding GroupApproximation.SimpleKazhdanSofic.le_commutator_and_map_le GroupApproximation.SimpleKazhdanSofic.lefDiagonalHom_commutator_le	Gamma <= [Delta,Delta] gives Gamma <= [Lambda,Lambda] and Gamma maps injectively into EL_3(R) (text verified at tip f34e9c0b1)	So $G_\Delta$ contains $\Gamma\le[\Delta,\Delta]\le[\Lambda,\Lambda]$.		
rows/ms-intro-3.tsv:3	ms-intro-3	b1eef5e651ae	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	49-50	attribution		ms-intro-3 @9047d0d3c: Ozawa 2003 hyperlinear form [p. 527] and Pestov Open question 9.1 sofic form; quoted verbatim in Palomar/Pestov91Challenge.lean.	Ozawa stated the hyperlinear form in 2003~\cite[p.~527]{Ozawa}, and Pestov's Open question~9.1 adds the sofic form~\cite{Pestov}.		
rows/ms-intro-3.tsv:4	ms-intro-3	3e190ace28f6	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	50-52	attribution		ms-intro-3 @9047d0d3c: "Hyperlinear groups were named by Radulescu, and sofic groups were introduced by Gromov and named by Weiss." Naming history; no step uses it.	Hyperlinear groups were named by R\u{a}dulescu~\cite{Radulescu}, and sofic groups were introduced by Gromov~\cite{Gromov} and named by Weiss~\cite{Weiss}.	54e33325e875	0.99
rows/ms-intro-3.tsv:8	ms-intro-3	3331e8dcbf93	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	30-32	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: abstract restatement of thm:main (infinite, f.g., simple, (T)). Statement checked against tip l.55-68 by ms-intro-3; endpoint over four named pieces (FG ring, Simplicity, MarkedLimitExpanders, marked limit => LEF), ct-two-ended LANDED bf15b32cf.	For every infinite minimal subshift $X$, the group $G_X=\EL_3(\LC(X,\F_2)\rtimes\Z)$ is an infinite, finitely generated, simple group with property~\textup{(T)}.	4d5974e8776d	0.66
rows/ms-intro-3.tsv:9	ms-intro-3	07a3f6913f1f	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	32-34	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces GroupApproximation.SimpleKazhdanSofic.PrintedMarkedLimitExpanders GroupApproximation.SimpleKazhdanSofic.IsMarkedLimit GroupApproximation.SimpleKazhdanSofic.IsExpanderFamily	ms-intro-3 @9047d0d3c: abstract, limit of finite simple SL_{3N}(F_2) in the space of marked groups with expander Cayley graphs: the PrintedMarkedLimitExpanders clause of thm:main (ct-two-ended, LANDED bf15b32cf), checked against the printed clause; producer piece PrintedMarkedLimitExpandersStatement (ms-units / ms-core-3).	It is a limit of finite simple groups $\SL_{3N}(\F_2)$ in the space of marked groups, and their Cayley graphs form a family of expanders.	f94577cbbaa3	0.62
rows/ms-intro-3.tsv:10	ms-intro-3	98730cf39196	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	34-35	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: abstract, "So G_X is LEF, sofic and hyperlinear": IsLEF, IsSofic, IsHyperlinear clauses of thm:main (ct-two-ended, LANDED bf15b32cf), from the marked limit through the piece PrintedMarkedLimitLEFStatement.	So $G_X$ is locally embeddable into finite groups, sofic and hyperlinear.	8e2fecfd278a	0.91
rows/ms-intro-3.tsv:12	ms-intro-3	1cd55586c7f2	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	37-40	open		ms-intro-3 @9047d0d3c: abstract, "A f.g. group is LEF iff it is a subgroup of an infinite f.g. simple Kazhdan group with this property, and one such group contains every f.g. linear group." Conjunction of cor:lef (l.276-279, sk-lef-assembly) and the linear-group clause of the second corollary (l.348-352, sk-universal); no carrier landed yet.	A finitely generated group is locally embeddable into finite groups if and only if it is a subgroup of an infinite finitely generated simple Kazhdan group with this property, and one such group contains every finitely generated linear group.	3597b9cfdaff	0.68
rows/ms-intro-3.tsv:13	ms-intro-3	0f378151c024	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	40-41	open		ms-intro-3 @9047d0d3c: abstract, every Turing degree; owner skf-degrees (Word problems section).	Every Turing degree is the word-problem degree of some $G_X$.		
rows/ms-intro-3.tsv:14	ms-intro-3	ca70bdd27b0c	42a95d13d3a40578307e4fe88b92bcdcca30b008	54-55	partial	GroupApproximation.SimpleKazhdanSofic.printedBrownOzawaPestovAnswer GroupApproximation.SimpleKazhdanSofic.printedGXAnswersBrownOzawaPestov_of_main GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_isMinimal GroupApproximation.SimpleKazhdanSofic.toeplitzSubshift_infinite	ms-intro-3 @9047d0d3c: "The groups below answer all three forms positively." Hyperlinear (Ozawa) and sofic (Pestov) forms: the ToeplitzAnswer carriers (LANDED 3a92eb17b). Brown's McDuff form is subsection "Brown's formulation" (OA lanes oa-mcduff, oa-ozawa71), not yet carried.	The groups below answer all three forms positively.	b727e9e6c738	0.86
rows/ms-intro-3.tsv:15	ms-intro-3	65cb2a78b690	42a95d13d3a40578307e4fe88b92bcdcca30b008	64-65	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: thm:main l.62-63, infinite, f.g., simple, (T), for every n >= 3 (n = 3 is G_X). Checked against the printed statement; endpoint over four named pieces, ct-two-ended LANDED bf15b32cf.	is an infinite, finitely generated, simple group with Kazhdan's property~\textup{(T)}.	562e5e07a357	0.66
rows/ms-intro-3.tsv:16	ms-intro-3	314f2d26a6bd	42a95d13d3a40578307e4fe88b92bcdcca30b008	65-67	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces GroupApproximation.SimpleKazhdanSofic.PrintedMarkedLimitExpanders GroupApproximation.SimpleKazhdanSofic.IsMarkedLimit GroupApproximation.SimpleKazhdanSofic.IsExpanderFamily	ms-intro-3 @9047d0d3c: thm:main l.63-65: marked limit of finite simple SL_{3N}(F_2) (IsSimpleGroup of SpecialLinearGroup (Fin n x Fin N) (ZMod 2)), common generator labels, word-by-word eventual agreement; expanders = finite labels, orders -> infinity, uniform eps edge expansion. ct-two-ended LANDED bf15b32cf.	It is the limit, in the space of marked groups, of finite simple groups $\SL_{3N}(\F_2)$ whose Cayley graphs, with respect to the images of a fixed generating set, form a family of expanders.		
rows/ms-intro-3.tsv:18	ms-intro-3	62a22eeef657	42a95d13d3a40578307e4fe88b92bcdcca30b008	69-70	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimpleKazhdanSoficMain GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain_of_pieces	ms-intro-3 @9047d0d3c: thm:main l.67-68, the same for EL_n, n >= 3, with SL_{nN}(F_2): PrintedSimpleKazhdanSoficMain quantifies over n >= 3 with SpecialLinearGroup (Fin n x Fin (N l)) (ZMod 2) (ct-two-ended, LANDED bf15b32cf).	The same holds for $\EL_n\bigl(\LC(X,\F_2)\rtimes_T\Z\bigr)$ for every $n\ge3$, with $\SL_{nN}(\F_2)$ in place of $\SL_{3N}(\F_2)$.		
rows/ms-intro-3.tsv:19	ms-intro-3	544404c03971	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	71-72	attribution	GroupApproximation.Pestov91.elementary_hasKazhdanPropertyT	ms-intro-3 @9047d0d3c: "Property (T), introduced by Kazhdan, follows from the theorem of Ershov and Jaikin-Zapirain." Attribution; the cited theorem is proved in the repository (Pestov91.elementary_hasKazhdanPropertyT via IntegralColumnPlaneClosure), not assumed.	Property~\textup{(T)}, introduced by Kazhdan~\cite{Kazhdan}, follows from the theorem of Ershov and Jaikin-Zapirain~\cite{EJZ}.	cbcaca37b5ec	0.67
rows/ms-intro-3.tsv:20	ms-intro-3	30dcdf15b13a	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	72-76	attribution		ms-intro-3 @9047d0d3c: periodic approximation as in Grigorchuk-Medynets [Theorem 2.6], expanders as in Kassabov; credit for the Finite models route (ms-units / ms-core-3), whose carriers carry the mathematics.	The finite models use periodic approximation, as in the proof by Grigorchuk and Medynets that topological full groups of minimal Cantor systems are LEF~\cite[Theorem~2.6]{GM}, and the expanders arise as in Kassabov's construction~\cite{Kassabov}.		
rows/ms-intro-3.tsv:21	ms-intro-3	9dae19a3e894	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	85-88	partial	GroupApproximation.SimpleKazhdanSofic.PrintedSimplicityStatement	ms-intro-3 @9047d0d3c: roadmap of the direct simplicity proof (nontrivial commutator in a copy of GL_d(F_2) over a clopen tower); the simplicity clause is the piece PrintedSimplicityStatement (ct-two-ended, LANDED bf15b32cf), owners ct-bilateral-mf / skf-consequences.	Our proof is direct: a nontrivial normal subgroup contains a nontrivial commutator lying in a copy of the finite simple group $\GL_d(\F_2)$ over a clopen tower, so it contains this group and with it an elementary matrix.	a0cfd12d5e67	0.63
rows/ms-intro-3.tsv:22	ms-intro-3	870306a8de13	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	83-85	attribution		ms-intro-3 @9047d0d3c: Matui [Lemma 3.4, Theorem 4.9], derived topological full groups; prior work, no step uses it.	For derived topological full groups, Matui showed in the same way that a nontrivial normal subgroup meets a simple union of alternating groups on towers~\cite[Lemma~3.4 and Theorem~4.9]{Matui}.	3eaee0a2dc7e	0.88
rows/ms-intro-3.tsv:23	ms-intro-3	858f409740bb	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	85-87	attribution		ms-intro-3 @9047d0d3c: Thom, a finitely generated Kazhdan LEF group that is not residually finite, not simple; prior work, no step uses it.	Thom constructed a finitely generated Kazhdan LEF group that is not residually finite~\cite{Thom}, but his example is not simple.	6e81aea57b64	0.62
rows/ms-intro-3.tsv:24	ms-intro-3	566d31ef6443	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	89-90	structural		ms-intro-3 @9047d0d3c: "The same proof applies to the lamplighter action of a group Delta on F_2^Delta." Roadmap to Part (ii) of the proof of cor:lef (l.294-317, sk-lef-action and sk-lef-simplicity); no claim beyond that section.	The same proof applies to the lamplighter action of a group $\Delta$ on $\F_2^{\Delta}$.		
rows/ms-intro-3.tsv:25	ms-intro-3	4700f8930d01	9047d0d3c910efcb8334d6cf9709ac850d1f0ff4	90-93	open		ms-intro-3 @9047d0d3c: "It shows that a f.g. group is LEF iff it is a subgroup of an infinite f.g. simple Kazhdan LEF group (Corollary cor:lef), and one such group contains every f.g. linear group." Same carriers as 1cd55586c7f2: cor:lef (sk-lef-assembly) and the second corollary (sk-universal); row split proposed to sk-lef-assembly ~21:30.	It shows that a finitely generated group is LEF if and only if it is a subgroup of an infinite finitely generated simple Kazhdan LEF group (Corollary~\ref{cor:lef}), and one such group contains every finitely generated linear group.	3597b9cfdaff	0.68
rows/ms-traces-1.tsv:2	ms-traces-1	fd312b860bb5	37ebf967988c5ae8ec22c8578ebbbf0c5f9f0280	447-451	attribution		ms-traces-1 @8b36733d7 (census 9cb80166d), tex l.291-295: the theorem of Boone and Higman, in Thompson's form, is quoted as the parallel of cor:lef's second statement; no proof in the note uses it as a step. Rekey of sk-lef-assembly's 4cc7b9e7d709 @696c4b602.	Its second statement is the analogue for LEF groups of the theorem of Boone and Higman that a finitely generated group has solvable word problem if and only if it embeds in a simple subgroup of a finitely presented group~\cite{BooneHigman}, in Thompson's form, where the simple group is finitely generated and has solvable word problem~\cite{Thompson80}.	9fe4e2896405	0.99
rows/ms-traces-1.tsv:7	ms-traces-1	7d13cf4208bc	42a95d13d3a40578307e4fe88b92bcdcca30b008	525-526	formalized	GroupApproximation.SimpleKazhdanSofic.printedConjugacyIsomorphism GroupApproximation.SimpleKazhdanSofic.PrintedConjugacyIsomorphism GroupApproximation.SimpleKazhdanSofic.nonempty_elementaryGroup_equiv_of_conj_or_flip GroupApproximation.SimpleKazhdanSofic.conjRingEquiv GroupApproximation.SimpleKazhdanSofic.flipRingEquiv	ms-traces-1 @8b36733d7 (census 9cb80166d), tex l.525-526: "If (X,T) is topologically conjugate to (Y,T') or to (Y,T'^-1), then G_X = G_Y up to isomorphism". Carried by ct-involution's printedConjugacyIsomorphism (Manuscript/SimpleKazhdanSofic/CrossedProductConjugacy, LANDED 730da5240, root-imported, #audit_closed_axioms). PrintedConjugacyIsomorphism quantifies over subshifts S of A^Z and S' of B^Z with arbitrary alphabets and over homeomorphisms phi of the carriers with phi o T = T' o phi or phi o T = T'^-1 o phi, and concludes Nonempty (G S =* G S'), where G = EL_3(LC(X,F_2) x|_T Z). That is at least the printed generality. It follows the printed route: conjRingEquiv (f to f o phi^-1, u to u), flipRingEquiv (u to u^-1), and elementaryCoefficientEquiv on EL_3. Credit ct-involution; this lane built nothing.	If $(X,T)$ is topologically conjugate to $(Y,T')$ or to $(Y,T'^{-1})$, then $G_X\cong G_Y$.		
rows/ms-traces-3.tsv:1	ms-traces-3	427203e368c1	42a95d13d3a40578307e4fe88b92bcdcca30b008	474-477	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedWordMultipliesOutToTables GroupApproximation.SimpleKazhdanSofic.printedWordMultipliesOutToTables GroupApproximation.CylinderTables.eval_tableMul GroupApproximation.CylinderTables.cylInd_mul_comap GroupApproximation.CylinderTables.coeff_eval GroupApproximation.CylinderTables.coeffFun_apply_eq GroupApproximation.CylinderTables.matEval_wordMat GroupApproximation.SimpleKazhdanSofic.eval_coeffTable GroupApproximation.SimpleKazhdanSofic.val_wordValue	ms-traces-3: cor:wp proof, "Multiplying out a word in the generators in LC(A^Z,F_2) semidirect Z, which maps onto R, gives a matrix with entries sum_j f_j u^j, each f_j given by a table on the words of some length, using uf = (f o T^-1)u"; census at 8b36733d7; closed named endpoint printedWordMultipliesOutToTables (closed audit): for every word w in the generators e_ij(s), s in {u, u^-1, e_a}, there are K, a finite exponent set E and tables F on the words of length 2K+1, all independent of X (the computation in LC(A^Z,F_2) semidirect Z), such that for every subshift X the matrix of w in G_X has entries sum_{j in E} f_j u^j with f_j(x) = F(x_[-K,K]); route: a table is a list of cylinder monomials 1_c u^j, products through uf = (f o T^-1)u on cylinders (cylInd_mul_comap, eval_tableMul), the word multiplies out to its matrix of tables (val_wordValue), coefficients read off coeff_eval and coeffFun_apply_eq; regraded after oa-expanders' fidelity audit (no named endpoint before); LANDED cc80bf23b (CylinderTables), e2d31c60a (WordNormalForm), e81f21d8c (WordProblemCriterion), 4e8b0ae09 (instance), 2b74a128a (WordMultipliesOut, probe 0914-110518-89899 BUILT); wire-queued	Multiplying out a word in the generators in $\LC(A^{\Z},\F_2)\rtimes\Z$, which maps onto $R$, gives a matrix with entries $\sum_jf_ju^j$, each $f_j$ given by a table on the words of some length, using $uf=(f\circ T^{-1})u$.		
rows/ms-traces-3.tsv:4	ms-traces-3	1c40d21401f6	42a95d13d3a40578307e4fe88b92bcdcca30b008	513-516	formalized	GroupApproximation.SimpleKazhdanSofic.printedGXNotFinitelyPresented GroupApproximation.SimpleKazhdanSofic.printedFinitelyPresentedLEFResiduallyFinite GroupApproximation.SimpleKazhdanSofic.printedNotFinitelyPresentedOfLEFSimpleInfinite GroupApproximation.finitelyPresented_isLEF_residuallyFinite GroupApproximation.NinetyNineProblems.not_isResiduallyFinite_of_isSimpleGroup_of_infinite GroupApproximation.SimpleKazhdanSofic.printedSimpleKazhdanSoficMain	ms-traces-3: Questions, "Infinite finitely presented simple Kazhdan groups exist [CapraceRemy], while G_X is not finitely presented: a finitely presented LEF group is residually finite [Stepin, VershikGordon], and G_X is not"; census 9cb80166d at tip 8b36733d7; G_X is not finitely presented along the printed reason, closed: printedGXNotFinitelyPresented (QuestionsClosed) from the closed printedSimpleKazhdanSoficMain (G_X infinite, simple and LEF) through ct-involution's printedGXNotFinitelyPresented_of_main; the lemma "a finitely presented LEF group is residually finite" is proved with no literature input (finitelyPresented_isLEF_residuallyFinite: a local embedding on the partial products of the relators and a word extends to a homomorphism into a finite symmetric group; printedFinitelyPresentedLEFResiduallyFinite at Group.IsFinitelyPresented), and an infinite simple group is not residually finite (not_isResiduallyFinite_of_isSimpleGroup_of_infinite); the clause "Infinite finitely presented simple Kazhdan groups exist [CapraceRemy]" is attribution context for the question (main's split 09-14); LANDED 04ba48c58 (QuestionsNotFinitelyPresented, ct-involution), e579226f8 (QuestionsClosed, probe 0914-100936-48734 BUILT)	Infinite finitely presented simple Kazhdan groups exist~\cite{CapraceRemy}, while $G_X$ is not finitely presented: a finitely presented LEF group is residually finite~\cite{Stepin,VershikGordon}, and $G_X$ is not.	e19e0d3328ad	0.64
rows/ms-traces-3.tsv:5	ms-traces-3	dc73886fdc13	37ebf967988c5ae8ec22c8578ebbbf0c5f9f0280	737-741	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedSoficKazhdanExampleNotLEF GroupApproximation.SimpleKazhdanSofic.printedSoficKazhdanExampleNotLEF GroupApproximation.SimpleKazhdanSofic.printedNotFinitelyPresentedOfLEFSimpleInfinite GroupApproximation.SimpleKazhdanSofic.printedFinitelyPresentedLEFResiduallyFinite GroupApproximation.NinetyNineProblems.not_isResiduallyFinite_of_isSimpleGroup_of_infinite	ms-traces-3: Questions, "A sofic example would not be LEF, and it would also answer Open problem 6.1 of Alekseev and Thom [AlekseevThom], which asks for finitely presented sofic groups with property (T) that are not residually finite"; census 9cb80166d at tip 8b36733d7; printedSoficKazhdanExampleNotLEF (closed): an infinite finitely presented simple sofic Kazhdan group is not LEF (a finitely presented LEF group is residually finite, proved with no literature input, and an infinite simple group is not) and is a finitely presented sofic group with property (T) that is not residually finite, the kind of group that Open problem 6.1 asks for; the clause describing Alekseev-Thom's problem is attribution (main's split 09-14); LANDED e579226f8 (QuestionsClosed, probe 0914-100936-48734 BUILT)	A sofic example would not be LEF, and it would also answer Open problem~6.1 of Alekseev and Thom~\cite{AlekseevThom}, which asks for finitely presented sofic groups with property~\textup{(T)} that are not residually finite.	b3fbc4494a6c	0.99
rows/ms-traces-3.tsv:6	ms-traces-3	25f820cbd165	42a95d13d3a40578307e4fe88b92bcdcca30b008	512-513	structural		ms-traces-3: Questions, "Is there an infinite finitely presented simple group with property~\textup{(T)} that is sofic, or at least hyperlinear?"; census at 8b36733d7; an open question, no assertion to carry (main 09-14)	Is there an infinite finitely presented simple group with property~\textup{(T)} that is sofic, or at least hyperlinear?	562e5e07a357	0.71
rows/ms-traces-3.tsv:7	ms-traces-3	85fe62a789f3	37ebf967988c5ae8ec22c8578ebbbf0c5f9f0280	742-742	structural		ms-traces-3: Questions, "Is every sofic infinite simple Kazhdan group LEF?"; census at 8b36733d7; an open question, no assertion to carry (main 09-14)	Is every sofic infinite simple Kazhdan group LEF?		
rows/ms-traces-3.tsv:8	ms-traces-3	60be9d39afa5	42a95d13d3a40578307e4fe88b92bcdcca30b008	522-523	structural		ms-traces-3: Questions, "Is every finitely generated sofic group a subgroup of an infinite finitely generated simple Kazhdan sofic group, as in Corollary~\ref{cor:lef}?"; census at 8b36733d7; an open question, no assertion to carry; the reference to Corollary cor:lef points to a corollary carried in its own section (main 09-14)	Is every finitely generated sofic group a subgroup of an infinite finitely generated simple Kazhdan sofic group, as in Corollary~\ref{cor:lef}?	3597b9cfdaff	0.60
rows/ms-traces-3.tsv:9	ms-traces-3	7f61e23f0bee	37ebf967988c5ae8ec22c8578ebbbf0c5f9f0280	752-752	structural		ms-traces-3: Questions, "Does $L(G_X)\cong L(G_Y)$ imply $G_X\cong G_Y$?"; census at 8b36733d7; an open question, no assertion to carry (main 09-14)	Does $L(G_X)\cong L(G_Y)$ imply $G_X\cong G_Y$?		
rows/oa-expanders.tsv:1	oa-expanders	95230f46af22	42a95d13d3a40578307e4fe88b92bcdcca30b008	233-235	formalized	GroupApproximation.SimpleKazhdanSofic.PrintedMatricialQuotientsExpanders GroupApproximation.SimpleKazhdanSofic.printedMatricialQuotientsExpanders GroupApproximation.SimpleKazhdanSofic.isExpanderFamily_matricialMarking GroupApproximation.SimpleKazhdanSofic.isExpanderFamily_of_hasKazhdanPropertyT_images GroupApproximation.SimpleKazhdanSofic.closure_range_elementaryLetterMarking GroupApproximation.KazhdanQuotientCheeger.kazhdanPair_quotient_boundary GroupApproximation.SimpleKazhdanSofic.hasKazhdanPropertyT_elementaryGroup_freeAlgebra	oa-expanders: "Since EL_3(F) has (T) [EJZ], its finite quotients form a family of expanders", printed route for every n >= 3: EL_n(F2<tau_s>) is Kazhdan (proved EJZ), generated by e_ij(1), e_ij(tau_s); rho_k onto, and EL_n(M_Nk(F2)) marked by e_ij(phi_k(s)) is an IsExpanderFamily (Kazhdan constant of the generating set, centred-indicator Cheeger estimate). No literature input. Module MatricialQuotientsExpanders LANDED 41de120e8 (probe 0914-003718-12656 GREEN), wire-queued; KazhdanQuotientCheeger/KazhdanQuotientExpanders d979328f0 (0913-220210-41687 GREEN). Verbatim at 37551fd93 and at the tip 696c4b602.	Since $\EL_3(F)$ has property~\textup{(T)}~\cite[Theorem~1.1]{EJZ}, its finite quotients form a family of expanders~\cite{Margulis,Kassabov}.\qed	8624ac81bcce	0.67
rows/oa-expanders.tsv:2	oa-expanders	8bd3ab27271c	42a95d13d3a40578307e4fe88b92bcdcca30b008	118-120	partial	GroupApproximation.SimpleKazhdanSofic.printedMatricialQuotientsExpanders GroupApproximation.SimpleKazhdanSofic.isExpanderFamily_matricialMarking	oa-expanders: expander half of the thm:general marking sentence, "SL_{nN_k}(F2) marked by the e_ij(phi_k(s)), whose Cayley graphs form a family of expanders", in the marking matricialMarking n S N phi (EL_n(M_Nk(F2)) = SL_{nN_k}(F2) is ms-core-3's L1). Partial: the marked limit (ms-core-3) and the thm:general assembly (ct-two-ended, PrintedMatricialExpandersStatement closes in one line from isExpanderFamily_matricialMarking) are not this lane's. LANDED 41de120e8, wire-queued.	Marked by the $e_{ij}(s)$ with $s\in S$, it is the limit of the finite simple groups $\SL_{nN_k}(\F_2)$ marked by the $e_{ij}(\varphi_k(s))$, whose Cayley graphs form a family of expanders.	10c6704796c1	0.73
rows/oa-kirchberg.tsv:1	oa-kirchberg	88ecdc10f78b	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	283-287	partial	GroupApproximation.SimpleKazhdanSofic.PrintedKirchbergTheoremOneOne GroupApproximation.SimpleKazhdanSofic.printedKirchbergTheoremOneOne GroupApproximation.NinetyNineProblems.KirchbergTheorem.kirchbergKazhdanFactorizationInput	oa-kirchberg: Kirchberg's Theorem 1.1 is proved with no input, at the trace side of the factorization property (the repository definition, Ozawa's (F)), along a real dilation of the models, the completed tensor square, the Kazhdan near-invariant vector, compact extraction and Mal'cev. Open: the Corollary 1.2 clause, "every subgroup of the unitary group of R has the factorization property".	Kirchberg proved that a Kazhdan group with the factorization property is residually finite~\cite[Theorem~1.1]{Kirchberg}, and that every subgroup of the unitary group of $\mathcal R$ has the factorization property~\cite[Corollary~1.2]{Kirchberg}.		
rows/oa-kirchberg.tsv:2	oa-kirchberg	a63ff00e499b	696c4b602e3aa3d65f6824de51a1bb16a820c5bf	287-290	partial	GroupApproximation.SimpleKazhdanSofic.PrintedGLacksFactorizationProperty GroupApproximation.SimpleKazhdanSofic.printedGLacksFactorizationProperty	oa-kirchberg: "So G does not have the factorization property", for every infinite simple Kazhdan group, from Theorem 1.1 and not_isResiduallyFinite_of_isSimpleGroup_of_infinite. Open: "it is not a subgroup of the unitary group of R" (needs Corollary 1.2); the LLP clause belongs to oa-llp.	So $G$ does not have the factorization property, it is not a subgroup of the unitary group of $\mathcal R$, and $C^*(G)$ does not have the local lifting property~\cite[p.~527]{Ozawa}.		
